feature,importance
quarter,0.027875843
hour_sin,0.027627537
spx,0.023913192
day_cos,0.023044268
vix,0.021222059
fed_funds_rate,0.020987213
dxy,0.02081197
is_quarter_end,0.020597052
is_month_start,0.019161832
day_of_week,0.019101853
macro_stress,0.019053133
price_hour,0.018598944
month_cos,0.018213484
month,0.017329358
day_sin,0.016126785
month_sin,0.015575075
avg_crypto_keywords_score,0.015247645
is_month_end,0.01520923
avg_general_crypto_keywords_score,0.014930994
avg_vader_score,0.014378586
is_weekend,0.014368555
avg_crypto_correlation,0.013945262
avg_fear_greed_score,0.013864298
avg_general_textblob_score,0.0138597945
risk_on_off,0.013830041
avg_cryptobert_score,0.013716209
avg_volatility_sentiment,0.013715129
avg_risk_appetite,0.013659903
dollar_strength,0.013418923
hour,0.013065517
crypto_sentiment_count,0.012668584
avg_finbert_sentiment_score,0.012631557
market_cap,0.012600862
stock_sentiment_count,0.012593355
avg_textblob_score,0.012324624
avg_general_cryptobert_score,0.012137961
avg_general_vader_score,0.012039587
momentum_50_rank,0.011318542
price_vs_ma_50,0.011024898
bb_position,0.010299585
price_vs_ma_100,0.0102022
momentum_50,0.009989609
ma_20,0.009875786
rsi_oversold,0.0097415345
ma_100_slope,0.009240029
volatility_50_rank,0.009011381
volatility_10_rank,0.008985648
momentum_5_rank,0.00897818
is_us_market_hours,0.008939951
volatility_50,0.00844789
id,0.008422329
momentum_3_rank,0.0083745215
ma_20_slope,0.008334979
ma_100,0.00828466
data_quality_score,0.008019996
ma_50,0.0078238435
momentum_1_rank,0.0076655764
volatility_5_rank,0.0075810254
ma_50_slope,0.0073713185
is_asian_session,0.0071759345
price_change_24h,0.007002544
price_change_percentage_24h,0.006638952
macd_histogram,0.0064956304
volume_ratio_20,0.0063879653
volume_24h,0.0063745375
price_vs_ma_20,0.006366379
rsi_14,0.006365725
stoch_d,0.006354361
bb_lower,0.0062554097
rsi_momentum,0.006248352
ma_5,0.006132955
stoch_k,0.0061076274
macd_line,0.0060811313
momentum_20_rank,0.006053858
hourly_volume,0.0060500996
current_price,0.0060423557
macd_signal,0.005926485
vwap,0.0057982793
atr_14,0.0056256717
ema_12,0.0054709916
bb_upper,0.0054636784
sma_50,0.0053502913
ema_26,0.005192686
rsi_overbought,0.0050858576
momentum_20,0.0049252105
sma_20,0.0047489027
general_crypto_sentiment_count,0.004565426
volume_ratio_10,0.004332221
volatility_20,0.0041732895
volatility_20_rank,0.0038940418
price_position,0.0030734732
volume_ratio_5,0.002906488
ma_10,0.0023094967
bb_middle,0.0016440009
social_post_count,0.0
social_unique_authors,0.0
social_avg_confidence,0.0
social_avg_sentiment,0.0
social_total_engagement,0.0
is_european_session,0.0
price_vs_ma_5,0.0
ma_5_slope,0.0
price_vs_ma_10,0.0
ma_10_slope,0.0
volatility_5,0.0
volatility_10,0.0
hour_cos,0.0
momentum_10_rank,0.0
momentum_3,0.0
momentum_1,0.0
momentum_5,0.0
momentum_10,0.0
near_low,0.0
near_high,0.0
volume_price_corr,0.0
bb_squeeze,0.0
btc_relative_performance,0.0
btc_beta,0.0
btc_correlation,0.0
rsi_momentum_interaction,0.0
