feature,importance
avg_crypto_keywords_score,0.028592115
vix,0.024722768
spx,0.024574809
dxy,0.022508187
avg_volatility_sentiment,0.021098977
is_month_start,0.020576576
day_cos,0.02050621
day_of_week,0.020412417
avg_cryptobert_score,0.020375514
avg_textblob_score,0.020161388
avg_vader_score,0.019713586
avg_crypto_correlation,0.01966594
fed_funds_rate,0.019436978
month,0.019199971
avg_risk_appetite,0.018983448
quarter,0.018849693
month_sin,0.018665971
stock_sentiment_count,0.018437708
day_sin,0.018336983
month_cos,0.018303597
crypto_sentiment_count,0.018202197
avg_finbert_sentiment_score,0.01780448
avg_fear_greed_score,0.01763641
is_weekend,0.01750223
is_month_end,0.017328685
macro_stress,0.017028933
is_quarter_end,0.016007349
rsi_oversold,0.013170545
momentum_20,0.012938022
market_cap,0.012407093
avg_general_cryptobert_score,0.012097179
momentum_20_rank,0.01161383
near_high,0.010589022
momentum_50,0.009504649
id,0.009504626
momentum_50_rank,0.009243335
ma_20_slope,0.00906624
price_vs_ma_100,0.0090509495
volatility_50,0.008894279
data_quality_score,0.008850733
volatility_20_rank,0.008445623
stoch_k,0.008095399
near_low,0.008067706
rsi_14,0.007990256
volatility_50_rank,0.007941108
rsi_overbought,0.00782348
price_vs_ma_50,0.007722865
volatility_20,0.0076798247
ma_100,0.007639132
ma_5,0.007546135
price_position,0.007543006
volume_24h,0.007500335
current_price,0.0074116415
ma_100_slope,0.007382644
macd_histogram,0.00737845
stoch_d,0.007266497
ma_10,0.0071852184
macd_signal,0.007114952
ma_50,0.0068261237
momentum_1_rank,0.0067997
hourly_volume,0.0066509764
macd_line,0.0065269754
ema_12,0.0060912617
ma_50_slope,0.005999283
ema_26,0.0057565393
sma_20,0.005738613
bb_lower,0.005713112
bb_upper,0.0056100655
atr_14,0.005524674
sma_50,0.005366983
vwap,0.0050985217
ma_20,0.004938334
avg_general_textblob_score,0.0049381563
volume_price_corr,0.004799112
volume_ratio_20,0.0047896532
momentum_3_rank,0.004463153
dollar_strength,0.0040517645
volatility_5_rank,0.003958122
ma_10_slope,0.0038892028
bb_middle,0.0038603148
price_vs_ma_20,0.0038022816
risk_on_off,0.0038019542
momentum_5_rank,0.0033479135
hour,0.003340968
general_crypto_sentiment_count,0.0031068136
hour_cos,0.0029313432
price_hour,0.0028795986
avg_general_crypto_keywords_score,0.0028655932
avg_general_vader_score,0.002849927
momentum_10,0.0026830565
volatility_10_rank,0.002641356
price_vs_ma_5,0.002623288
price_change_percentage_24h,0.0025798725
is_asian_session,0.0025686596
bb_position,0.0024873903
rsi_momentum,0.0024651566
price_change_24h,0.0024506848
volatility_5,0.002405652
momentum_5,0.0022390957
price_vs_ma_10,0.0020776978
rsi_momentum_interaction,0.002068423
ma_5_slope,0.0019262622
volume_ratio_5,0.0018590892
momentum_10_rank,0.001735579
bb_squeeze,0.0016804035
volatility_10,0.0016745707
volume_ratio_10,0.0016228406
momentum_3,0.0015576277
momentum_1,0.0015277285
hour_sin,0.0015106313
social_post_count,0.0
social_unique_authors,0.0
social_avg_confidence,0.0
social_avg_sentiment,0.0
social_total_engagement,0.0
is_european_session,0.0
is_us_market_hours,0.0
btc_relative_performance,0.0
btc_correlation,0.0
btc_beta,0.0
